grain,period_start,demand_units,sales_revenue,sales_lines
weekly,2011-02-14,81344,143354.21,6914
weekly,2011-02-21,84454,148404.19,7513
weekly,2011-02-28,69618,132503.55,7188
weekly,2011-03-07,73822,135076.46,7257
weekly,2011-03-14,87702,161082.62,7947
weekly,2011-03-21,78538,149292.66,8199
weekly,2011-03-28,108494,192398.08,8649
weekly,2011-04-04,68436,134211.44,7638
weekly,2011-04-11,87407,149357.40,7285
weekly,2011-04-18,82709,141530.36,7860
weekly,2011-04-25,52389,86364.58,4703
weekly,2011-05-02,78440,146706.54,7763
weekly,2011-05-09,109925,211708.33,10054
weekly,2011-05-16,108557,215384.19,9291
weekly,2011-05-23,86226,165886.83,7238
weekly,2011-05-30,58412,118357.15,6553
weekly,2011-06-06,102272,219836.76,9208
weekly,2011-06-13,103652,189877.88,8207
weekly,2011-06-20,75229,135745.71,8028
weekly,2011-06-27,76675,138987.06,6588
weekly,2011-07-04,93878,177154.31,10405
weekly,2011-07-11,84605,136911.47,8693
weekly,2011-07-18,110284,202130.17,9569
weekly,2011-07-25,105823,182275.23,8260
weekly,2011-08-01,103057,170460.17,7740
weekly,2011-08-08,99539,190121.41,7463
weekly,2011-08-15,99961,175570.68,6901
weekly,2011-08-22,98409,164484.13,7855
weekly,2011-08-29,80974,153830.63,9403
weekly,2011-09-05,110634,191912.07,10008
weekly,2011-09-12,123025,229688.16,10208
weekly,2011-09-19,169862,338294.08,13265
weekly,2011-09-26,121304,211446.80,11863
weekly,2011-10-03,173028,319084.77,13772
weekly,2011-10-10,118437,228037.07,12801
weekly,2011-10-17,152645,275970.35,13271
weekly,2011-10-24,152144,259312.53,14019
weekly,2011-10-31,160222,300643.08,16186
weekly,2011-11-07,184683,368996.32,18729
weekly,2011-11-14,186567,387064.65,20461
weekly,2011-11-21,170104,315114.06,19308
weekly,2011-11-28,156699,323398.70,18378
weekly,2011-12-05,246397,503785.75,17296
monthly,2009-12,444341,822483.95,43619
monthly,2010-01,395234,651155.11,30420
monthly,2010-02,391860,551504.73,28035
monthly,2010-03,530314,830915.26,39954
monthly,2010-04,385747,678875.25,32945
monthly,2010-05,424009,657705.50,33558
monthly,2010-06,413723,749537.31,38539
monthly,2010-07,358590,648810.27,32169
monthly,2010-08,521762,695251.91,32275
monthly,2010-09,592615,921696.99,40707
monthly,2010-10,622277,1161902.22,57093
monthly,2010-11,730417,1464293.14,75167
monthly,2010-12,361094,821452.73,41192
monthly,2011-01,397030,689811.61,34104
monthly,2011-02,286074,522545.56,26961
monthly,2011-03,384023,716215.26,35609
monthly,2011-04,311314,536968.49,28957
monthly,2011-05,398686,769296.61,36044
monthly,2011-06,393633,760547.01,35793
monthly,2011-07,405473,718076.12,38466
monthly,2011-08,424264,757841.38,34345
monthly,2011-09,574169,1056435.19,48962
monthly,2011-10,626373,1151263.73,58629
monthly,2011-11,768468,1503866.78,82133
monthly,2011-12,314417,637808.33,24858
