sku_id,description,selected_model,model_family,selection_observations
21754,HOME BUILDING BLOCK WORD,weekday_seasonal_mean,statistical,14
21755,LOVE BUILDING BLOCK WORD,gru,deep_learning,14
21756,BATH BUILDING BLOCK WORD,lstm,deep_learning,14
21757,LIGHTHOUSE PRINTED METAL SIGN,moving_average_7,statistical,14
21758,VINTAGE SHELLS PRINT,weekday_seasonal_mean,statistical,14
21765,HANGING METAL BIRD BATH,moving_average_7,statistical,14
21768,UNKNOWN,moving_average_7,statistical,14
21769,VINTAGE POST OFFICE CABINET,moving_average_7,statistical,14
21770,OPEN CLOSED METAL SIGN,lstm,deep_learning,14
21773,DECORATIVE ROSE BATHROOM BOTTLE,lstm,deep_learning,14
21774,DECORATIVE CATS BATHROOM BOTTLE,gru,deep_learning,14
21775,DECORATIVE FLORE BATHROOM BOTTLE,weekday_seasonal_mean,statistical,14
21777,UNKNOWN,moving_average_7,statistical,14
21781,MA CAMPAGNE CUTLERY BOX,moving_average_7,statistical,14
21784,UNKNOWN,moving_average_7,statistical,14
21785,RAIN PONCHO,moving_average_7,statistical,14
21786,POLKADOT RAIN HAT,lstm,deep_learning,14
21787,RAIN PONCHO RETROSPOT,weekday_seasonal_mean,statistical,14
21788,KIDS RAIN MAC BLUE,gru,deep_learning,14
21789,KIDS RAIN MAC PINK,lstm,deep_learning,14
21790,VINTAGE SNAP CARDS,seasonal_naive_lag_7,statistical,14
21791,VINTAGE HEADS AND TAILS CARD GAME,weekday_seasonal_mean,statistical,14
21792,CLASSIC FRENCH STYLE BASKET GREEN,moving_average_7,statistical,14
21793,CLASSIC FRENCH STYLE BASKET BROWN,weekday_seasonal_mean,statistical,14
21794,adjustment,moving_average_7,statistical,14
21795,UNKNOWN,moving_average_7,statistical,14
21796,UNKNOWN,moving_average_7,statistical,14
21801,CHRISTMAS TREE DECORATION WITH BELL,moving_average_7,statistical,14
21802,CHRISTMAS TREE HEART DECORATION,naive_lag_1,statistical,14
21803,CHRISTMAS TREE STAR DECORATION,weekday_seasonal_mean,statistical,14
21804,dotcom,lstm,deep_learning,14
21805,WHITE CHRISTMAS TREE DECORATION,moving_average_7,statistical,14
21806,WHITE CHRISTMAS HEART DECORATION,moving_average_7,statistical,14
21807,WHITE CHRISTMAS STAR DECORATION,seasonal_naive_lag_7,statistical,14
21808,"CHRISTMAS GARLAND STARS,TREES",weekday_seasonal_mean,statistical,14
21809,CHRISTMAS HANGING TREE WITH BELL,lstm,deep_learning,14
21810,CHRISTMAS HANGING STAR WITH BELL,gru,deep_learning,14
21811,UNKNOWN,weekday_seasonal_mean,statistical,14
21812,GARLAND WITH HEARTS AND BELLS,weekday_seasonal_mean,statistical,14
21813,GARLAND WITH STARS AND BELLS,seasonal_naive_lag_7,statistical,14
21814,HEART T-LIGHT HOLDER,lstm,deep_learning,14
21815,STAR T-LIGHT HOLDER,lstm,deep_learning,14
21816,CHRISTMAS TREE T-LIGHT HOLDER,lstm,deep_learning,14
21817,GLITTER CHRISTMAS TREE,naive_lag_1,statistical,14
21818,GLITTER HEART DECORATION,xgboost,machine_learning,14
21819,GLITTER CHRISTMAS STAR,lightgbm,machine_learning,14
21820,GLITTER HEART GARLAND WITH BELLS,weekday_seasonal_mean,statistical,14
21821,GLITTER STAR GARLAND WITH BELLS,lightgbm,machine_learning,14
21822,GLITTER CHRISTMAS TREE WITH BELLS,xgboost,machine_learning,14
21823,amazon adjust,lstm,deep_learning,14
21824,PAINTED METAL STAR WITH HOLLY BELLS,naive_lag_1,statistical,14
21825,PAINTED METAL TREE WITH HOLLY BELLS,moving_average_7,statistical,14
21826,UNKNOWN,moving_average_7,statistical,14
21827,EIGHT PIECE CREEPY CRAWLIE SET,moving_average_7,statistical,14
21828,EIGHT PIECE SNAKE SET,seasonal_naive_lag_7,statistical,14
21829,adjustment,moving_average_7,statistical,14
21830,ASSORTED CREEPY CRAWLIES,seasonal_naive_lag_7,statistical,14
21832,CHOCOLATE CALCULATOR,weekday_seasonal_mean,statistical,14
21833,CAMOUFLAGE LED TORCH,lightgbm,machine_learning,14
21836,GINGHAM OVEN GLOVE RED HEART,moving_average_7,statistical,14
21837,UNKNOWN,moving_average_7,statistical,14
21839,MUMMY MOUSE RED GINGHAM RIBBON,moving_average_7,statistical,14
21841,BABY MOUSE RED GINGHAM DRESS,lstm,deep_learning,14
21843,RED RETROSPOT CAKE STAND,gru,deep_learning,14
21844,RED RETROSPOT MUG,naive_lag_1,statistical,14
21845,DAIRY MAID STRIPE MUG,lstm,deep_learning,14
21846,PINK DIAMANTE PEN IN GIFT BOX,lstm,deep_learning,14
21847,GREEN DIAMANTE PEN IN GIFT BOX,naive_lag_1,statistical,14
21849,SILVER DIAMANTE PEN IN GIFT BOX,lstm,deep_learning,14
21850,BLUE DIAMANTE PEN IN GIFT BOX,seasonal_naive_lag_7,statistical,14
21851,LILAC DIAMANTE PEN IN GIFT BOX,naive_lag_1,statistical,14
21864,UNION JACK FLAG PASSPORT COVER,gru,deep_learning,14
21865,PINK UNION JACK PASSPORT COVER,gru,deep_learning,14
21866,UNION JACK FLAG LUGGAGE TAG,lstm,deep_learning,14
21867,PINK UNION JACK LUGGAGE TAG,gru,deep_learning,14
21868,POTTING SHED TEA MUG,gru,deep_learning,14
21869,UNKNOWN,moving_average_7,statistical,14
21870,I CAN ONLY PLEASE ONE PERSON MUG,moving_average_7,statistical,14
21871,SAVE THE PLANET MUG,lstm,deep_learning,14
21872,GLAMOROUS MUG,gru,deep_learning,14
21873,IF YOU CAN'T STAND THE HEAT MUG,gru,deep_learning,14
21874,GIN AND TONIC MUG,lstm,deep_learning,14
21875,KINGS CHOICE MUG,lstm,deep_learning,14
21876,POTTERING MUG,lstm,deep_learning,14
21877,HOME SWEET HOME MUG,lstm,deep_learning,14
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,lstm,deep_learning,14
21879,HEARTS GIFT TAPE,moving_average_7,statistical,14
21880,RED RETROSPOT TAPE,lstm,deep_learning,14
21881,CUTE CATS TAPE,lstm,deep_learning,14
21882,SKULLS TAPE,lstm,deep_learning,14
21883,STARS GIFT TAPE,lstm,deep_learning,14
21884,CAKES AND BOWS GIFT TAPE,lstm,deep_learning,14
21888,BINGO SET,weekday_seasonal_mean,statistical,14
21889,WOODEN BOX OF DOMINOES,seasonal_naive_lag_7,statistical,14
21890,S/6 WOODEN SKITTLES IN COTTON BAG,weekday_seasonal_mean,statistical,14
21891,TRADITIONAL WOODEN SKIPPING ROPE,weekday_seasonal_mean,statistical,14
21892,TRADITIONAL WOODEN CATCH CUP GAME,xgboost,machine_learning,14
21894,POTTING SHED SEED ENVELOPES,gru,deep_learning,14
21895,POTTING SHED SOW 'N' GROW SET,moving_average_7,statistical,14
21896,POTTING SHED TWINE,lstm,deep_learning,14
21897,UNKNOWN,moving_average_7,statistical,14
21898,UNKNOWN,moving_average_7,statistical,14
21899,GARAGE KEY FOB,lstm,deep_learning,14
21900,"KEY FOB , SHED",gru,deep_learning,14
21901,"KEY FOB , BACK DOOR",gru,deep_learning,14
21902,"KEY FOB , FRONT DOOR",gru,deep_learning,14
21903,MAN FLU METAL SIGN,lstm,deep_learning,14
21904,UNKNOWN,moving_average_7,statistical,14
21905,MORE BUTTER METAL SIGN,gru,deep_learning,14
21906,PHARMACIE FIRST AID TIN,seasonal_naive_lag_7,statistical,14
21907,I'M ON HOLIDAY METAL SIGN,gru,deep_learning,14
21908,CHOCOLATE THIS WAY METAL SIGN,seasonal_naive_lag_7,statistical,14
21910,WAY OUT METAL SIGN,moving_average_7,statistical,14
21911,UNKNOWN,moving_average_7,statistical,14
21912,VINTAGE SNAKES & LADDERS,weekday_seasonal_mean,statistical,14
21913,VINTAGE SEASIDE JIGSAW PUZZLES,lstm,deep_learning,14
21914,BLUE HARMONICA IN BOX,lightgbm,machine_learning,14
21915,RED HARMONICA IN BOX,lstm,deep_learning,14
21916,SET 12 RETRO WHITE CHALK STICKS,lightgbm,machine_learning,14
21917,SET 12 KIDS WHITE CHALK STICKS,weekday_seasonal_mean,statistical,14
21918,SET 12 KIDS COLOUR CHALK STICKS,lightgbm,machine_learning,14
21922,UNION STRIPE WITH FRINGE HAMMOCK,naive_lag_1,statistical,14
21923,UNKNOWN,moving_average_7,statistical,14
21924,UNKNOWN,moving_average_7,statistical,14
21925,UNION STRIPE CUSHION COVER,naive_lag_1,statistical,14
21926,RED/CREAM STRIPE CUSHION COVER,lstm,deep_learning,14
21927,BLUE/CREAM STRIPE CUSHION COVER,weekday_seasonal_mean,statistical,14
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,gru,deep_learning,14
21929,JUMBO BAG PINK VINTAGE PAISLEY,lstm,deep_learning,14
21930,JUMBO STORAGE BAG SKULLS,weekday_seasonal_mean,statistical,14
21931,JUMBO STORAGE BAG SUKI,gru,deep_learning,14
21932,SCANDINAVIAN PAISLEY PICNIC BAG,lstm,deep_learning,14
21933,PINK VINTAGE PAISLEY PICNIC BAG,seasonal_naive_lag_7,statistical,14
21934,SKULL SHOULDER BAG,lightgbm,machine_learning,14
21935,SUKI SHOULDER BAG,lightgbm,machine_learning,14
21936,RED RETROSPOT PICNIC BAG,gru,deep_learning,14
21937,STRAWBERRY PICNIC BAG,seasonal_naive_lag_7,statistical,14
21942,SKULLS DESIGN FLANNEL,lstm,deep_learning,14
21943,CAKES AND RABBITS DESIGN FLANNEL,seasonal_naive_lag_7,statistical,14
21944,KITTENS DESIGN FLANNEL,lstm,deep_learning,14
21945,STRAWBERRIES DESIGN FLANNEL,gru,deep_learning,14
21946,PARTY TIME DESIGN FLANNEL,seasonal_naive_lag_7,statistical,14
21947,SET OF 6 HEART CHOPSTICKS,weekday_seasonal_mean,statistical,14
21948,SET OF 6 CAKE CHOPSTICKS,gru,deep_learning,14
21949,SET OF 6 STRAWBERRY CHOPSTICKS,gru,deep_learning,14
21955,DOORMAT UNION JACK GUNS AND ROSES,seasonal_naive_lag_7,statistical,14
21967,PACK OF 12 SKULL TISSUES,lstm,deep_learning,14
21972,SET OF 36 DINOSAUR PAPER DOILIES,lstm,deep_learning,14
21973,SET OF 36 MUSHROOM PAPER DOILIES,naive_lag_1,statistical,14
21974,SET OF 36 PAISLEY FLOWER DOILIES,weekday_seasonal_mean,statistical,14
21975,PACK OF 60 DINOSAUR CAKE CASES,seasonal_naive_lag_7,statistical,14
21976,PACK OF 60 MUSHROOM CAKE CASES,lstm,deep_learning,14
21977,PACK OF 60 PINK PAISLEY CAKE CASES,xgboost,machine_learning,14
21980,PACK OF 12 RED RETROSPOT TISSUES,lightgbm,machine_learning,14
21981,PACK OF 12 WOODLAND TISSUES,gru,deep_learning,14
21982,PACK OF 12 SUKI TISSUES,seasonal_naive_lag_7,statistical,14
21983,PACK OF 12 BLUE PAISLEY TISSUES,gru,deep_learning,14
21984,PACK OF 12 PINK PAISLEY TISSUES,lstm,deep_learning,14
21985,PACK OF 12 HEARTS DESIGN TISSUES,lightgbm,machine_learning,14
21986,PACK OF 12 PINK POLKADOT TISSUES,lstm,deep_learning,14
21987,PACK OF 6 SKULL PAPER CUPS,weekday_seasonal_mean,statistical,14
21988,PACK OF 6 SKULL PAPER PLATES,lstm,deep_learning,14
21989,PACK OF 20 SKULL PAPER NAPKINS,lightgbm,machine_learning,14
21990,MODERN FLORAL STATIONERY SET,lightgbm,machine_learning,14
21991,BOHEMIAN COLLAGE STATIONERY SET,weekday_seasonal_mean,statistical,14
21992,check,lstm,deep_learning,14
21993,FLORAL FOLK STATIONERY SET,xgboost,machine_learning,14
22021,BLUE FELT EASTER EGG BASKET,moving_average_7,statistical,14
22023,EMPIRE BIRTHDAY CARD,lstm,deep_learning,14
22024,RAINY LADIES BIRTHDAY CARD,gru,deep_learning,14
22025,RING OF ROSES BIRTHDAY CARD,lstm,deep_learning,14
22026,BANQUET BIRTHDAY CARD,naive_lag_1,statistical,14
22027,TEA PARTY BIRTHDAY CARD,weekday_seasonal_mean,statistical,14
22028,PENNY FARTHING BIRTHDAY CARD,weekday_seasonal_mean,statistical,14
22029,SPACEBOY BIRTHDAY CARD,seasonal_naive_lag_7,statistical,14
22030,SWALLOWS GREETING CARD,weekday_seasonal_mean,statistical,14
22031,BOTANICAL LAVENDER BIRTHDAY CARD,lstm,deep_learning,14
22032,BOTANICAL LILY GREETING CARD,lstm,deep_learning,14
22033,BOTANICAL ROSE GREETING CARD,seasonal_naive_lag_7,statistical,14
22034,ROBIN CHRISTMAS CARD,seasonal_naive_lag_7,statistical,14
22035,VINTAGE CARAVAN GREETING CARD,moving_average_7,statistical,14
22036,DINOSAUR BIRTHDAY CARD,moving_average_7,statistical,14
22037,ROBOT BIRTHDAY CARD,lightgbm,machine_learning,14
22038,BOTANICAL LAVENDER GIFT WRAP,lstm,deep_learning,14
22040,BOTANICAL ROSE GIFT WRAP,lstm,deep_learning,14
22041,"RECORD FRAME 7"" SINGLE SIZE",lstm,deep_learning,14
22042,CHRISTMAS CARD SINGING ANGEL,lstm,deep_learning,14
22043,CHRISTMAS CARD SCREEN PRINT,weekday_seasonal_mean,statistical,14
22044,CHRISTMAS CARD STACK OF PRESENTS,naive_lag_1,statistical,14
22045,SPACEBOY GIFT WRAP,weekday_seasonal_mean,statistical,14
22046,TEA PARTY WRAPPING PAPER,lstm,deep_learning,14
22047,EMPIRE GIFT WRAP,lstm,deep_learning,14
22048,BIRTHDAY BANQUET GIFT WRAP,naive_lag_1,statistical,14
22049,WRAP CHRISTMAS SCREEN PRINT,moving_average_7,statistical,14
22050,PINK PAISLEY ROSE GIFT WRAP,naive_lag_1,statistical,14
22051,BLUE SCANDINAVIAN PAISLEY WRAP,lstm,deep_learning,14
22052,VINTAGE CARAVAN GIFT WRAP,moving_average_7,statistical,14
22053,EMPIRE DESIGN ROSETTE,naive_lag_1,statistical,14
22054,MINI CAKE STAND HANGING HEARTS,moving_average_7,statistical,14
22055,MINI CAKE STAND HANGING STRAWBERY,gru,deep_learning,14
22056,CERAMIC PLATE LOVE HEART DESIGN,moving_average_7,statistical,14
22057,CERAMIC PLATE STRAWBERRY DESIGN,lstm,deep_learning,14
22058,CERAMIC LOVE HEARTS DESIGN MUG,moving_average_7,statistical,14
22059,CERAMIC STRAWBERRY DESIGN MUG,lstm,deep_learning,14
22060,LARGE CAKE STAND HANGING HEARTS,moving_average_7,statistical,14
22061,LARGE CAKE STAND HANGING STRAWBERY,lstm,deep_learning,14
22062,UNKNOWN,moving_average_7,statistical,14
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,lstm,deep_learning,14
22064,PINK DOUGHNUT TRINKET POT,weekday_seasonal_mean,statistical,14
22065,CHRISTMAS PUDDING TRINKET POT,seasonal_naive_lag_7,statistical,14
22066,LOVE HEART TRINKET POT,weekday_seasonal_mean,statistical,14
22067,CHOC TRUFFLE GOLD TRINKET POT,lstm,deep_learning,14
22068,BLACK PIRATE TREASURE CHEST,weekday_seasonal_mean,statistical,14
22069,BROWN PIRATE TREASURE CHEST,weekday_seasonal_mean,statistical,14
22070,SMALL RED RETROSPOT MUG IN BOX,weekday_seasonal_mean,statistical,14
22071,SMALL WHITE RETROSPOT MUG IN BOX,weekday_seasonal_mean,statistical,14
22072,RED RETROSPOT TEA CUP AND SAUCER,lstm,deep_learning,14
22073,RED RETROSPOT STORAGE JAR,moving_average_7,statistical,14
22074,6 RIBBONS SHIMMERING PINKS,lstm,deep_learning,14
22075,6 RIBBONS ELEGANT CHRISTMAS,lightgbm,machine_learning,14
22076,6 RIBBONS EMPIRE,weekday_seasonal_mean,statistical,14
22077,6 RIBBONS RUSTIC CHARM,weekday_seasonal_mean,statistical,14
22078,RIBBON REEL LACE DESIGN,lstm,deep_learning,14
22079,RIBBON REEL HEARTS DESIGN,weekday_seasonal_mean,statistical,14
22080,RIBBON REEL POLKADOTS,weekday_seasonal_mean,statistical,14
22081,RIBBON REEL FLORA + FAUNA,lstm,deep_learning,14
22082,RIBBON REEL STRIPES DESIGN,weekday_seasonal_mean,statistical,14
22083,PAPER CHAIN KIT RETROSPOT,weekday_seasonal_mean,statistical,14
22084,PAPER CHAIN KIT EMPIRE,moving_average_7,statistical,14
22085,PAPER CHAIN KIT SKULLS,seasonal_naive_lag_7,statistical,14
22086,PAPER CHAIN KIT 50'S CHRISTMAS,lightgbm,machine_learning,14
22087,PAPER BUNTING WHITE LACE,weekday_seasonal_mean,statistical,14
22088,UNKNOWN,moving_average_7,statistical,14
22089,PAPER BUNTING VINTAGE PAISLEY,naive_lag_1,statistical,14
22090,PAPER BUNTING RETROSPOT,gru,deep_learning,14
22091,EMPIRE TISSUE BOX,lstm,deep_learning,14
22092,BLUE PAISLEY TISSUE BOX,weekday_seasonal_mean,statistical,14
22093,MOTORING TISSUE BOX,weekday_seasonal_mean,statistical,14
22094,RED RETROSPOT TISSUE BOX,lstm,deep_learning,14
22095,LADS ONLY TISSUE BOX,weekday_seasonal_mean,statistical,14
22096,PINK PAISLEY SQUARE TISSUE BOX,lstm,deep_learning,14
22097,SWALLOW SQUARE TISSUE BOX,weekday_seasonal_mean,statistical,14
22098,BOUDOIR SQUARE TISSUE BOX,lstm,deep_learning,14
22099,CARAVAN SQUARE TISSUE BOX,lstm,deep_learning,14
22100,SKULLS SQUARE TISSUE BOX,lstm,deep_learning,14
22101,MIRROR MOSAIC VOTIVE HOLDER,lstm,deep_learning,14
22102,MIRROR MOSAIC T-LIGHT HOLDER,lstm,deep_learning,14
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,moving_average_7,statistical,14
22104,MIRROR MOSAIC CANDLE PLATE,lstm,deep_learning,14
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,moving_average_7,statistical,14
22106,MIRROR MOSAIC HURRICANE LAMP,seasonal_naive_lag_7,statistical,14
22107,PIZZA PLATE IN BOX,lightgbm,machine_learning,14
22108,PING! MICROWAVE PLATE,weekday_seasonal_mean,statistical,14
22109,FULL ENGLISH BREAKFAST PLATE,naive_lag_1,statistical,14
22110,BIRD HOUSE HOT WATER BOTTLE,weekday_seasonal_mean,statistical,14
22111,SCOTTIE DOG HOT WATER BOTTLE,weekday_seasonal_mean,statistical,14
22112,CHOCOLATE HOT WATER BOTTLE,seasonal_naive_lag_7,statistical,14
22113,GREY HEART HOT WATER BOTTLE,lightgbm,machine_learning,14
22114,HOT WATER BOTTLE TEA AND SYMPATHY,seasonal_naive_lag_7,statistical,14
22115,METAL SIGN EMPIRE TEA,weekday_seasonal_mean,statistical,14
22116,METAL SIGN HIS DINNER IS SERVED,weekday_seasonal_mean,statistical,14
22117,METAL SIGN HER DINNER IS SERVED,naive_lag_1,statistical,14
22118,JOY WOODEN BLOCK LETTERS,lstm,deep_learning,14
22119,PEACE WOODEN BLOCK LETTERS,gru,deep_learning,14
22120,WELCOME WOODEN BLOCK LETTERS,weekday_seasonal_mean,statistical,14
22121,NOEL WOODEN BLOCK LETTERS,weekday_seasonal_mean,statistical,14
22122,SET OF 2 FANCY FONT TEA TOWELS,moving_average_7,statistical,14
22123,PING MICROWAVE APRON,weekday_seasonal_mean,statistical,14
22124,SET OF 2 TEA TOWELS PING MICROWAVE,lstm,deep_learning,14
22125,UNKNOWN,lstm,deep_learning,14
22127,PARTY CONES CARNIVAL ASSORTED,moving_average_7,statistical,14
22128,PARTY CONES CANDY ASSORTED,lstm,deep_learning,14
22129,PARTY CONES CANDY DECORATION,lstm,deep_learning,14
22130,PARTY CONE CHRISTMAS DECORATION,weekday_seasonal_mean,statistical,14
22131,FOOD CONTAINER SET 3 LOVE HEART,gru,deep_learning,14
22132,RED LOVE HEART SHAPE CUP,lstm,deep_learning,14
22133,PINK LOVE HEART SHAPE CUP,naive_lag_1,statistical,14
22134,MINI LADLE LOVE HEART RED,lstm,deep_learning,14
22135,MINI LADLE LOVE HEART PINK,weekday_seasonal_mean,statistical,14
22136,LOVE HEART SOCK HANGER,moving_average_7,statistical,14
22137,BATHROOM SET LOVE HEART DESIGN,moving_average_7,statistical,14
22138,BAKING SET 9 PIECE RETROSPOT,lightgbm,machine_learning,14
22139,RETROSPOT TEA SET CERAMIC 11 PC,xgboost,machine_learning,14
22141,CHRISTMAS CRAFT TREE TOP ANGEL,lightgbm,machine_learning,14
22142,CHRISTMAS CRAFT WHITE FAIRY,lightgbm,machine_learning,14
22143,CHRISTMAS CRAFT HEART DECORATIONS,moving_average_7,statistical,14
22144,CHRISTMAS CRAFT LITTLE FRIENDS,moving_average_7,statistical,14
22145,UNKNOWN,moving_average_7,statistical,14
22146,EASTER CRAFT IVY WREATH WITH CHICK,moving_average_7,statistical,14
22147,FELTCRAFT BUTTERFLY HEARTS,lstm,deep_learning,14
22148,EASTER CRAFT 4 CHICKS,lstm,deep_learning,14
22149,check,lstm,deep_learning,14
22150,3 STRIPEY MICE FELTCRAFT,lightgbm,machine_learning,14
22151,PLACE SETTING WHITE HEART,lightgbm,machine_learning,14
22152,PLACE SETTING WHITE STAR,seasonal_naive_lag_7,statistical,14
22153,ANGEL DECORATION STARS ON DRESS,lightgbm,machine_learning,14
22154,ANGEL DECORATION 3 BUTTONS,lightgbm,machine_learning,14
22155,STAR DECORATION RUSTIC,weekday_seasonal_mean,statistical,14
22156,HEART DECORATION WITH PEARLS,lstm,deep_learning,14
22157,ANGEL DECORATION WITH LACE PADDED,moving_average_7,statistical,14
22158,3 HEARTS HANGING DECORATION RUSTIC,weekday_seasonal_mean,statistical,14
22161,HEART DECORATION RUSTIC HANGING,weekday_seasonal_mean,statistical,14
22162,HEART GARLAND RUSTIC PADDED,lstm,deep_learning,14
22163,HEART STRING MEMO HOLDER HANGING,weekday_seasonal_mean,statistical,14
22164,STRING OF STARS CARD HOLDER,naive_lag_1,statistical,14
22165,"DIAMANTE HEART SHAPED WALL MIRROR,",seasonal_naive_lag_7,statistical,14
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,lstm,deep_learning,14
22167,OVAL WALL MIRROR DIAMANTE,moving_average_7,statistical,14
22168,ORGANISER WOOD ANTIQUE WHITE,moving_average_7,statistical,14
22169,FAMILY ALBUM WHITE PICTURE FRAME,weekday_seasonal_mean,statistical,14
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,naive_lag_1,statistical,14
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,lstm,deep_learning,14
22172,METAL SHELF WITH RAIL,moving_average_7,statistical,14
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,weekday_seasonal_mean,statistical,14
22174,PHOTO CUBE,weekday_seasonal_mean,statistical,14
22175,PINK OWL SOFT TOY,weekday_seasonal_mean,statistical,14
22176,amazon,moving_average_7,statistical,14
22177,5 HOOK BLACKBOARD ORGANISER,moving_average_7,statistical,14
22178,VICTORIAN GLASS HANGING T-LIGHT,weekday_seasonal_mean,statistical,14
22179,SET 10 NIGHT OWL LIGHTS,seasonal_naive_lag_7,statistical,14
22180,RETROSPOT LAMP,naive_lag_1,statistical,14
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,lstm,deep_learning,14
22182,CAKE STAND VICTORIAN FILIGREE SMALL,lstm,deep_learning,14
22183,CAKE STAND VICTORIAN FILIGREE MED,naive_lag_1,statistical,14
22184,CAKE STAND VICTORIAN FILIGREE LARGE,moving_average_7,statistical,14
22185,SLATE TILE NATURAL HANGING,lstm,deep_learning,14
22186,RED STAR CARD HOLDER,lightgbm,machine_learning,14
22187,GREEN CHRISTMAS TREE CARD HOLDER,moving_average_7,statistical,14
22188,BLACK HEART CARD HOLDER,lstm,deep_learning,14
22189,CREAM HEART CARD HOLDER,lstm,deep_learning,14
22190,LOCAL CAFE MUG,lstm,deep_learning,14
22191,IVORY DINER WALL CLOCK,weekday_seasonal_mean,statistical,14
22192,BLUE DINER WALL CLOCK,weekday_seasonal_mean,statistical,14
22193,RED DINER WALL CLOCK,weekday_seasonal_mean,statistical,14
22194,UNKNOWN,moving_average_7,statistical,14
22195,LARGE HEART MEASURING SPOONS,weekday_seasonal_mean,statistical,14
22196,SMALL HEART MEASURING SPOONS,weekday_seasonal_mean,statistical,14
22197,POPCORN HOLDER,lightgbm,machine_learning,14
22198,LARGE POPCORN HOLDER,moving_average_7,statistical,14
22199,FRYING PAN RED RETROSPOT,lstm,deep_learning,14
22200,FRYING PAN PINK POLKADOT,lstm,deep_learning,14
22201,FRYING PAN BLUE POLKADOT,lstm,deep_learning,14
22202,UNKNOWN,moving_average_7,statistical,14
22203,MILK PAN RED RETROSPOT,lstm,deep_learning,14
22204,MILK PAN BLUE POLKADOT,seasonal_naive_lag_7,statistical,14
22207,FRYING PAN UNION FLAG,gru,deep_learning,14
22208,WOOD STAMP SET THANK YOU,lightgbm,machine_learning,14
22209,WOOD STAMP SET HAPPY BIRTHDAY,weekday_seasonal_mean,statistical,14
22210,WOOD STAMP SET BEST WISHES,weekday_seasonal_mean,statistical,14
22211,WOOD STAMP SET FLOWERS,seasonal_naive_lag_7,statistical,14
22212,FOUR HOOK WHITE LOVEBIRDS,weekday_seasonal_mean,statistical,14
22214,CANDLE PLATE LACE WHITE,seasonal_naive_lag_7,statistical,14
22215,CAKE STAND WHITE TWO TIER LACE,lstm,deep_learning,14
22216,T-LIGHT HOLDER WHITE LACE,naive_lag_1,statistical,14
22217,T-LIGHT HOLDER HANGING LACE,lstm,deep_learning,14
22218,CAKE STAND LACE WHITE,moving_average_7,statistical,14
22219,LOVEBIRD HANGING DECORATION WHITE,weekday_seasonal_mean,statistical,14
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,lstm,deep_learning,14
22221,CAKE STAND LOVEBIRD 2 TIER PINK,seasonal_naive_lag_7,statistical,14
22222,CAKE PLATE LOVEBIRD WHITE,lstm,deep_learning,14
22223,CAKE PLATE LOVEBIRD PINK,seasonal_naive_lag_7,statistical,14
22224,WHITE LOVEBIRD LANTERN,lstm,deep_learning,14
22227,HANGING HEART MIRROR DECORATION,lstm,deep_learning,14
22228,BUNNY WOODEN PAINTED WITH BIRD,lstm,deep_learning,14
22229,BUNNY WOODEN PAINTED WITH FLOWER,lstm,deep_learning,14
22230,JIGSAW TREE WITH WATERING CAN,lstm,deep_learning,14
22231,JIGSAW TREE WITH BIRDHOUSE,moving_average_7,statistical,14
22232,JIGSAW TOADSTOOLS 3 PIECE,lstm,deep_learning,14
22233,JIGSAW RABBIT AND BIRDHOUSE,moving_average_7,statistical,14
22236,CAKE STAND 3 TIER MAGIC GARDEN,lstm,deep_learning,14
22241,GARLAND WOODEN HAPPY EASTER,seasonal_naive_lag_7,statistical,14
22242,5 HOOK HANGER MAGIC TOADSTOOL,moving_average_7,statistical,14
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,naive_lag_1,statistical,14
22244,3 HOOK HANGER MAGIC GARDEN,moving_average_7,statistical,14
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",moving_average_7,statistical,14
22246,MAGIC GARDEN FELT GARLAND,lstm,deep_learning,14
22247,BUNNY DECORATION MAGIC GARDEN,moving_average_7,statistical,14
22248,DECORATION PINK CHICK MAGIC GARDEN,lstm,deep_learning,14
22249,DECORATION WHITE CHICK MAGIC GARDEN,naive_lag_1,statistical,14
22250,DECORATION BUTTERFLY MAGIC GARDEN,lstm,deep_learning,14
22251,BIRDHOUSE DECORATION MAGIC GARDEN,lstm,deep_learning,14
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,weekday_seasonal_mean,statistical,14
22253,6 CROCHET STRAWBERRIES,moving_average_7,statistical,14
22254,FELT TOADSTOOL LARGE,lstm,deep_learning,14
22255,FELT TOADSTOOL SMALL,gru,deep_learning,14
22256,FELT FARM ANIMAL CHICKEN,moving_average_7,statistical,14
22257,FELT FARM ANIMAL SHEEP,moving_average_7,statistical,14
22258,FELT FARM ANIMAL RABBIT,lstm,deep_learning,14
